,Score,user_id,review_id,text,votes.cool,business_id,votes.funny,stars,date,type,votes.useful
58,0.0,XTp6S7yXL7HluVUaBYdbyQ,8rZtuT8USrLQIu5k4LPFKw,"Terrible. Preordered my tires and when I arrived they couldn't find the order anywhere. Once we got through that process I waited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slow, over priced, I'll go elsewhere next time.",0,b12U9TFESStdy7CsTtcOeg,0,1,2013-09-27,review,0
60,0.0,5noqL9IulqZx326u6eg4Rw,Yip27oh0XMK0_1C3bN_DNA,"Last summer I had an appointment to get new tires and had to wait a super long time. I also went in this week for them to fix a minor problem with a tire they put on. They ""fixed"" it for free, and the very next morning I had the same issue. I called to complain, and the ""manager"" didn't even apologize!!! So frustrated. Never going back.  They seem overpriced, too.",0,b12U9TFESStdy7CsTtcOeg,0,1,2014-02-27,review,1
67,0.0,BNiS6iuXJHMqTyuKQgyHYQ,5q5h76tiVrgn5ElyZzpx9Q,"Don't waste your time.  We had two different people come to our house to give us estimates for a deck (one of them the OWNER).  Both times, we never heard from them.  Not a call, not the estimate, nothing.",0,3ZVKmuK2l7uXPE6lXY4Dbg,0,1,2014-07-17,review,1
68,0.0,nEYPahVwXGD2Pjvgkm7QqQ,nkquD2FJgZvyj3bcobqlrg,"I will start by saying we have a nice new deck. That is where the good part ends.

Why two stars if we have a nice deck now? Well, it all started in May when we had a man named Al come out and talk to us about the process. He was a true salesman, I'll tell you that. Not a straight shooter, but an excited salesman that wanted to sell... And we bought into it.

He told us they were backed up with the harsh winter and a lot of jobs, but they could probably start by June 24th. Mind you, this was the end of May we met with him. He said they would have to do a survey of our land and get a permit from Dormont before they started. We felt confident in going with them, and booked it.

Here's where things fell apart. Weeks went by with no word from them on the process. Finally I called and left messages. Al finally got in touch with me and the conversation was utterly confusing. He must have not understood me because he just kept talking in circles. So I hung up not knowing what was going on. Finally I called back and the admin told me that the survey could take a couple weeks to come back. I wish Al would have told us that.

So our June 24th date came and went. We finally got our survey. And they were quick to bill us for it, but no word on where we were in the process. I called back a couple times with no real answers from the admin. Apparently they were now waiting for the permit from Dormont.

A month later, I was frustrated and asked to speak with someone at the company. I spoke with someone who told me that Dormont usually takes a week to process the permit, but we were now going on a month. He told me he would bug the guy about it and we finally got it. 

I completely understand that waiting on the permit is not their fault, but why no communication about it? Just call me and tell me they're waiting for the permit, but they'll work towards asking Dormont what the hold up is. Seems simple.

Finally we get the permit and work is supposed to start. Tuesday comes and they have to wait for approval from Dormont on holes they're digging. So holes are dug and equipment is put in my backyard and then nothing happens for two days. Where did everyone go? Who knows, because I wasn't informed! 

I was upset and contacted the company owner, Dave, by email. I told him how frustrated I was about the lack of communication. He wrote me two sentences that  said ""there will be acres there tomorrow morning to finish and most will be done tomorrow."" Well, that didn't happen.

Then two other dudes show up two days later and did work for about three hours and left. The main guy comes back the next day and says they did it wrong. So apparently the part about how they wouldn't need access to my house changes to they're drilling bolts into my house to secure he deck. 

Finally, the second week into construction, my tiny 10x11 foot deck is done. It was upsetting that they left the deck dirty, and all the dirt and cement they moved around wasn't cleaned up. I even asked them to fill all the holes they dug up and didn't use, and they only filled up one. When you create a construction project, isn't it just good business to clean it up and make it look nice? Didn't happen here.

My main point is, contractors have a reputation for not being the most trustworthy. Why be that company? Why not be an upstanding company that consumers can trust? My main issues with them were that things were not communicated to me properly up front, nor was the ongoing process communicated to me. Then they left everything unfinished in my eyes, leaving the site dirty. I understand things happen and things get delayed, but just email or call me. It's not that hard to keep me updated, it is 2014 with a million ways to be contacted.

Even though I have a nice deck (after I clean things up myself!), I would not recommend them to anyone.",1,3ZVKmuK2l7uXPE6lXY4Dbg,0,2,2014-08-06,review,10
73,0.0,CFh9jAl5_DUSgNBA5bP5RQ,qfqs3mq5ctYFG8S-IDb_aQ,"I can;t believe this place has a high rating. I had a bichon, who was seen here since his puppyhood and who was dying. I called to make an appointment to have him put down because he was in great pain. The receptionist would not give me an appointment until one week later, even though she could hear him crying out in pain. Anyway, he died in agony before his appointment. This was in 2010 and I have not taken my subsequent pets to the clinic.",0,QoDa50dc7g62xciFygXB9w,0,1,2015-09-08,review,0
83,0.0,9MmWbiE7txW_OplDAnoaqA,RRddfCx_goh5UnEIwx9HMA,Hoofah.,0,wJr6kSA5dchdgOdwH6dZ2w,0,2,2011-11-21,review,0
87,0.0,T_wjLgPOPXry7Bea4MzoVQ,Ba193vShA-AKcfLYvaEOnA,Average run of the mill store.  Associates are young teens and they really don't know where anything is.  Luckily I am able to get around to find everything.  Found my puppy treats and moved on.,0,yXuao0pFz1AxB21vJjDf5w,0,2,2010-01-27,review,2
91,0.0,d_zE235hKwYut4gyhx3HoA,y33A2bVRGcKT7gMKu-Yz4w,"Never go to Rossi Tailoring and Dry Cleaners 393 Vanadium Road Pittsburgh, PA 15243. I decided to use a local business to do my dry cleaning. I dropped off 3 shirts at this establishment just before Thanksgiving. It is now late January. I have stopped by more than a half dozen times and have been given only ONE of the shirts. They have offered $20 a shirt for the shirts they lost. Those shirts are worth at least $50 each, and I refuse to take under $30 for each. I am tired of the run around, tired of promised phone calls that never happen (they have NEVER called me).  I wouldn't use their services again if you paid me to.",0,F04xyOUA2xnUoCiWpx9iJA,0,1,2013-01-21,review,0
94,0.0,SIzRzjkt4IghwUfVOCUEnQ,FMBWVksq6wKskl1sLlLi6g,"Real talk: 

I took my car through the carwash here once, got a nasty gouge down the side, and the guy at the counter didn't seem to care. 

The car wash has since been decommissioned, which is totally OK because the getgo carwash across the street is excellent and better in every way.",0,Cdcus0NADzyY3XiJM2O5Sg,0,2,2014-03-23,review,0
96,0.0,oyNnGTS_MHHfe2NcWsMlgQ,F9BaAIYKRZI38dbT7gnQmA,Station is closed.  Sign is blank and all fixtures from the store have been removed.,0,Cdcus0NADzyY3XiJM2O5Sg,0,1,2015-09-04,review,0
97,0.0,tAKjY3bQXH51msJbOHYPmQ,MsoASFxCmOOkOBOqZ80ngQ,"Two meals, on the recommendation of a friend who lives near the place, and after the second trip, I was compelled to write. 'Rocky' would definitely describe the experiences.

On the first trip, I went to try their (at that time)raved about Reuben. And YET to find a true good Reuben in da burgh, I tried it.

Well, they were out of the proper bread, and the guy had to run to the store to buy the closest thing he could find, which was not the proper bread, and instead of one of their 'raved about' Reubens, I received two mini-Reubens, which basically took the guts from one Reuben, and spread it out onto two sandwiches on regular sized bread. I ate it. It wasn't great, but they swore it was because they'd run out of the bread. Bread or not, it still wasn't great. The atmosphere was pleasant in that 'blue collar bar' kind of way, and the staff was very nice, but not a winning pitch on the Reuben.

The second trip was after a long day of moving furniture with the same friend. Sat in the back room, instead of the bar, which felt more like a restaurant, of course, with the big screen TV covering the sports of the moment.

I was in the mood for dinner this time, and after a scan, decided on fried chicken and mashed potatoes with the salad bar. My friend ordered one of her faves, the breaded pork chops.

We hit the salad bar, which was uber-basic. Three soups (mostly vegetable loaded, which left me out), basic iceberg lettuce mix (very probably out of a bag), a few veggie toppings, and three or four dressings. It was a basic salad, no big deal. More or less an appetizer filler before the meal.

The mind-blower in this trip was the ordering of the fried chicken dinner. Our waiter looked like a 19 year old gas station attendant, skinny little blonde guy with a sweet but incredibly naive face, and an air of vapidity, which was confirmed when I placed my order. I asked what chicken pieces came in the dinner, and asked if it was possible to only get dark meat. I never imagined how confusing a question that could possibly be. It literally took him two trips back to the kitchen to 'ask', and the child honestly had no clue what 'white meat' and 'dark meat' meant. The first answer he came back with was that the chicken came in a pre-portioned prepared bag, kind of Kentucky Fried Chicken style...which didn't answer my question, thus prompting the second trip. 

After the second trip back I heard the cook holler 'Tell him I'll fix him up'. 

Well, the chicken was prepackaged dreck like you'd find in the freezer case of Walmart, tiny and not good, and the potatoes had that slight tinge of chem-spuds flavor, laden with some kind of chopped up green (parsley?), and a side of that basic brown gravy served up in 5 gallon buckets.

Thank goodness for the basic salad bar.

Even my friend admitted that her pork chops were different and not what she'd expected. They also appeared to be from a freezer bag.

The irony was that the boy who didn't know white meat from dark meat, was chatting with some other customers...about baseball...and he was a genius about the mindless sport of baseball. Ahhhh da burgh.

Third base? Nah...why bother when there are so many other options around. Go on in a grab a beer and chat black and gold if you happen to be in Carnegie...they can help you out all types of ways in that area. Just don't go hungry if you actually have tastebuds.

From what I understand it 'used to be' really good homecooked food. But apparently, mama has left the kitchen.",0,fNGIbpazjTRdXgwRY_NIXA,0,2,2013-09-01,review,0
147,0.0,S5oBX7uhY4wYyDjvka4cWg,SxaE8AKzEfYk-6SU3_LZhw,"We came here once before and remember it not being very good, but figured we'd give it another shot since it's pretty close to our home. It's still just OK. We didn't have to wait this time (Saturday morning at 10:30), but there was a wait throughout the time we were there. The menu is very basic- no specialty pancakes, waffles, or french toast and only 1 specialty omelette. There were no meal options, so if you want home fries or something, it's extra. The omelettes do include toast. (Great bread, btw!) We had to wait a while for our food, which was surprising because we've been to a lot of diners. My husband and I both got omelettes and agreed that the contents were not really cooked with the egg. It's almost like the egg was completely cooked and someone threw the cooked contents in there and just folded it over. As for my mushroom and cheese omelette, the cheese was lacking. My biggest peev about this place is that it's CASH ONLY. Perhaps I missed it, but I'm pretty sure this wasn't noted anywhere on the menu or the front door. Thankfully, we had enough to cover our bill, but's not a good way to end the meal when you're scrambling and digging for change. There are a lot of good diners in the area, so I doubt we'll be going back.",0,b9WZJp5L1RZr4F1nxclOoQ,0,2,2015-04-18,review,0
160,0.0,x2kLEDf4JfnIdIDToLQ9fQ,fkkVew1rKmrljkng92lGtg,"My first time going to Barb's Country Junction and I really wanted to like this place, I really did...however, I didn't.

The food was decent, some was above average and some below but it was overall decent. I got pancakes, bacon and eggs. The pancakes were really good and fluffy, the home fries were simply okay and the eggs were not cooked well. My son had a burger and it was good. The coffee at this place was brewed to perfection which a appreciate. I would give the food 3/5.

The service was subpar for sure. While our waitress was a really nice girl, she wasn't on top of anything at all. Had to ask for coffee refills, had to ask for silverware, for napkins...etc. She got the order messed up and so on. I give the service 2/5.

The inside of the place had some country charm as you'd expect but want particularly cleanly. It also had a leaky roof in several places which had buckets collecting the water. A customer even tripped over the buckets and fell. I give the interior 2/5.

The prices were decent. I fed my whole family breakfast (3 of us) for $23. I give the prices 3/5.

So in summary, you can get okay food here for a rather cheap price but it is not a great place to dine in by any means. There are better diners in the area that I will patronize in the future rather than Barb's.",0,zaXDakTd3RXyOa7sMrUE1g,0,2,2014-07-19,review,0
168,0.0,S4oFChNVRVnt3dzddag8iA,KX2vIYuN7i97P9md_LQU6w,"Thomas Darby
I will never stay at this Extended Stay America due to the fact that we were there in October, 2015 and had an awful stay! Room was only cleaned one time after asking three times when it would be cleaned. There was absolutely nothing in the supposedly full kitchen, 2 wash clothes, 2 hand towels and 2 towels. We had to take used wash clothes and towels to front desk every day to receive fresh ones. The toilet ran over and the heater didn't work until we decided to leave. We were over charged after booking through Hotels.com and had to put up a $100.00 deposit. For what? Never again will we stay there!!!!!",0,zgy27FSnvwdINfk5cXBIyQ,0,1,2015-11-12,review,0
171,0.0,2MRE7On5kQ2sKxWfYKOi8w,Fi9L-o7ervabHG9wTwReGg,"If I could give this place less than one star, I would. I have no idea who gave this place high reviews but they must either own the place or be time travelers from back in the day when this place might not have sucked. The decor is tired and grimy, the place reeked of smoke, and the bartender/server was surly, to put it mildly. We went there on a Saturday night with a mind to try the Irish food. Apparently, we were out of luck. I've always thought that the secrets of restaurant success is to actually stock food for people to eat. He told us before we ordered that they had no ""pies"". No chicken pot pie, no shepherds pie, etc. So, we gamely tried to order other things. We placed our order. My wife, for example, ordered the Irish stew and he came back 5 min later telling us they were out of that and even more things for several people in our party. At that point my wife picked out a third option, ham and cabbage, only to be told again that ""they were out"". At that point, realizing that the only food to be had in the place was what was crusted on the menus, we asked to pay for our drinks and left. They actually then gave us flack for not having enough to put it on a debit card. In short, unless you like your dinner with a side of disappointment and depression, I'd probably avoid this place like the plague. Speaking of the plague, I suppose we should thank Mr. Surly for inspiring us to walk out. I only have two bathrooms at my house and would've been hard pressed to accommodate several violently ill people at once.",0,WETE_LykpcnrC1sFcQ5EGg,0,1,2011-05-07,review,0
173,0.0,33nygg8QJA9FRRn7YsAWtQ,SRoZ_HvqQoxEraKRM72sSg,"It looks so much better in here since they changed from Paddy's to Riley's. It's a shame, however, that they had to keep that same curmudgeon of a bartender that ruins the experience. Can somebody notify me once they get rid of him?",0,WETE_LykpcnrC1sFcQ5EGg,0,2,2012-04-04,review,0
174,0.0,neBCZl1X_pDl11y7nVYFoQ,AfOVld6Rc2Uky5FINRs0nA,"Okay, so hopefully you haven't been enjoying happy hour @ Riley's Pour House before you read this or you might not be able to follow the lilting Irish owners. 

To recap: Murphy's Pour House from 1979-1985. Sullivan's Pour House from 1995-2002. Paddy's Pour House from 2002-2012. And, bagpipe please, Riley's Pour House opens March 1 of 2012. Still with me?

It's a tiny long bar just like the old Irish pubs. No more smoking allowed. Hurrah!!!  Same lousy service. 

My guess is that the entire place needs (no, strike that .... demands) an automated food/beverage ticketing system. None of the cooks, bartenders, or waitresses know who ordered what nor what ticket belongs to which table. It's actually pretty funny if you're not a) hungry or b) thirsty. 

I really really want this place to do better. We need more Irish pubs and local old time watering holes. 

Get it together, Murphy's ... er, I mean Sullivan's....er, I mean Paddy's or is it Riley's? ;  ).  Whatever the case, they have cold Guinness. And Irish music.  And fun patrons.",0,WETE_LykpcnrC1sFcQ5EGg,1,2,2012-05-07,review,1
175,0.0,jc6LD2wn5YrW3BUcxuX50w,cZtX3Ir_KQ8FHIhDrFzPAg,"The delivery driver mistakenly rang my doorbell, having confused 133 and 113.

Rather than taking a step back and analyzing the situation, he begins to accuse my wife and I of ordering and refusing to pay for this pizza.

The driver then gets on his cell phone and rather than calling the number than was given when the order was placed, begins to call his bosses and starts threatening me with felony charges. 

So I take the initiative and ask the fine upstanding gentleman what the phone number of the order-er was, phone my neighbor and discover the mistake. Rather than a thank you or a sorry, he just speeds off (breaking the speed limit on our block) to reach his destination 50 feet away.

I would call to complain, but based on the other reviews, its clear the owners do not care about Carnegie or it's residents, and its pretty well known around town just how awful their food is, so it would be pointless to boycott a place I'd never order from again anyway.

Do yourself a favor and order from ANY other establishment in town.",0,6o3RK6rTcN3nw-j-r2nQmA,0,1,2011-09-01,review,3
178,0.0,fTg6Rz2Rs1LLYN_U7TJbcQ,TCe8wx6uA54ouA9IWbaG2g,"Some of the worst pizza I've ever had.  We used a coupon from the paper for a 2 topping 8 cut Sicilian. First of all the pizza wasn't even cut through, and the sad attempt at cutting was so uneven that 4 of the slices were about an inch wide, while the others were about 4"" each. The toppings were scarce, they used mini pepperoni and put maybe 8 on the whole pizza. The onions were huge chunks and the mushrooms were straight from a can. The worst part though was the thick doughy crust that tasted more like a fishy sourdough roll. I'm serious... It was so noticeable that it made me wonder if the dough was bad or if they for some weird reason put fish sauce in it. It was gross. 

We also ordered steak and Italian hoagies. The veggies were old and wilted, and there was no dressing on either. The Italian had deli meat that was clearly bottom of the line and not very generous. The ""steak"" (if you an call it that) was greyish instead of brown and looked like it was a processed meat chopped into pieces. No flavor or seasoning and the texture was reminiscent of spam. It was so bad that I only ate 1/4 of it and tossed the rest. 

I have ordered from here in the past and always been disappointed. I thought I would give them another try since I'd never ordered a Sicilian pizza from there. What a mistake. I will never order from them again!",0,6o3RK6rTcN3nw-j-r2nQmA,0,1,2013-06-10,review,0
187,0.0,jsfzrOPsQ5U8auXYRd4eRA,6FkTitP6ffiBhVS01Wzf5g,"Unprofessional!  We ended up here due to being recommended by the insurance company. It WAS my fault for leaving an iPod in the vehicle, but regardless it was stolen. The owner would not take responsibility for the theft, and firmly stood by his employees. He did say that the cars are occasionally left unlocked outside the building. BAD PRACTICE!  Nonetheless, I am out an iPod, and he is out everyone's business that asks me for a recommendation for auto repair. LOCK THE CARS!",0,YX_cdwb0A62hdQRBiZJgtQ,0,1,2013-03-07,review,3
188,0.0,3HQ8d8TvFOhGcStjP9N9bg,hw0S8AO6S6K-GOsJJahegw,"I'm an elite Yelp member and I try to say positive on all local businesses. 

That being said I can positively say stay away from this body shop. I was with Nationwide at the time of my front end accident and they told me to go here because they were part of their ""blue ribbon"" program. In my eyes this meant that this shop had clout and were a reputable shop. What I didn't realize this meant was that nationwide would basically get substantial discounts in return for them sending most of their bodyshop repairs this way. 

The owner and his wife run the shop. My accident happened in 2011. I called them and they told me to bring it in. They took pics and then sent me on my way. Told me it would take about a week to get the bumper, side fenders and new hood in. They would repaint and reattach. They also ordered new headlights.

Showed up a week later. The only positive aspect was they took pics which were available online to show the progress of the car throught the week.

After a week I picked it up. It looked okay. He never replaced the undertray which was damaged in the accident which would lead to problems down the road. He also forgot to cover the back of the car which got some overspray from the primer (How this happened when he painted the front of the car is beyond me. I'm assuming they were painting a car next to mine.)

Here is where I am dissapointed with his service. After a week the bumper started falling off. Also the new headlight he put in started getting condensation in it which proved to me he never actually replaced it. I called and tried to set up an appointment but none of my messages were answered. After getting him on the phone he told me I needed to set up an appointment to come look at it. I showed up and he told me it would take more money to fix! Are you kidding me? The insurance company and I coughed up $6k so you could partially put it back together and then not want to fix it once it was falling apart? He told me I must have hit a curb and knocked the bumper off. He would not take responsibility for his lack of quality work. 

DO NOT GO HERE. I complained to Nationwide to remove them from their repair shop list but my complaints went unheard.

I ended up going private party to redo his shotty work.",0,YX_cdwb0A62hdQRBiZJgtQ,0,1,2014-07-24,review,3
194,0.0,5-EsEwC-eXHCAc654-ZNuw,Kqw3bju6UXfp77E20eAXBQ,"I love LJS, but I  had to write a review regarding this particular location.  The inside is very dated and appears to be poorly cared for.  It smelled like burnt fish when we walked in the door.  It took about 15 mins for the food, so I figured it was gonna be all fresh...negative!  The fish was old and cold and fries were a very soft.  The corn lacked butter.

I didn't care for the onion rings and my boyfriend said the Coleslaw tasted spoiled.

The chicken planks and hushpuppies were the only things edible.  

Service wasn't too bad - nice people.  Too bad a whole bunch of flies started flying around the dining area and prep area, which ruined my appetite.",0,rv7CY8G_XibTx82YhuqQRw,0,2,2015-10-16,review,1
195,0.0,SeKrO18C8nqAZ9bWYOyxig,LvOtsQTVKS9oWm7jML4x8A,By far the worst most unprofessional dentist I have ever experienced her staff is too busy watching soap operas on all the TVs in each room instead of cleaning and she gave me a filling which was too deep which could have been understandable as her son had his pictures delivered from Hawaii and she had to stop 3 times to pay for them and show her whole staff all of them must be nice to have a 14 year old go to Hawaii on her moms dime and have her patience wait to see all of this happen I had to have oral surgery and have the tooth removed because she put the filling in too deep an abscessed tooth was the result I wouldn't recommend her to an ex girlfriend or someone I hate because of the three months of extreme tooth pain I had to deal with because of her lack of care and follow through even after I called and asked them for advice and follow up they simply could care less and did not even offer to reschedule an appointment other than prescribing me vicodin and antibiotics do not recommend and do not go to her license should be pulled!!,0,e_U_FnpdKVgNb4mUN2cU_Q,0,1,2013-07-10,review,3
197,0.0,Nhvkukz5MECqEUQVfh6A6w,BywchRHEvjmYSKorUhyHyA,"In all fairness - I did not see this dentist but did schedule an appointment and waited 15 minutes for them to open.

When I look at Yelp reviews, I usually weed out the outliers (the best and the worst).   Unfortunately, there are only two reviews.

It was my first time at the office.   The office admin (very nice) asked for me to come early (before 9am) to complete paperwork.   I arrived at 8:50.    I waited.   I watched 2 employees walk by me (unlocked the door and re-locked it).    They did not acknowledge me.

The door I was at had signage (open hours).    I decided to leave because of a review where the staff seemed distracted or disinterested in my presence.

The office admin (very nice) called me to inform I am missing my appointment.   I explained to her that there were too many indications where this was not going to be a good fit and wished her the best of luck.

I recommend if you see this dentist you go to the front door (furthest away from the parking lot) for the entrance.

Poor recommendation because the staff who walked by me seemed to be distracted which was pointed out in a previous review.",1,e_U_FnpdKVgNb4mUN2cU_Q,0,1,2014-05-13,review,0
198,0.0,Jdfzz0EVCRXkpydEBNrtlw,HWbmfO2-YYthL2QMFIbuMg,"I've been to this office a good amount of times.  Each time the receptionists give of a vibe of entitlement and it is very uncomfortable.  Dr. Weinberg herself is very nice, but I doubt her ability. Every procedure she has done to my teeth has backfired. The third and last issue I have is that i always paid cash at the end of my visits and somehow I have received an invoice for $55. I called and of course the receptionist was sassy and rude so I gave up. Will never go back or refer anyone else",1,e_U_FnpdKVgNb4mUN2cU_Q,0,1,2014-11-19,review,0
203,0.0,_CtkjL-e6O_lMShkN6HuSA,nuZlz-65cXIsLZPGk6EwDw,Take it from me; avoid this place at all cost.  The only time I go is when I am starved and don't have the energy to cook or get edible food.  And then after I have been kicking myself.,0,SQ0j7bgSTazkVQlF5AnqyQ,1,1,2011-01-12,review,0
205,0.0,RJgfj-6Uq-lyiPJJcyCVlQ,M28dSKnyInjQu0I9NJlfig,Far away from real Chinese food. Doesn't even taste good as American style Chinese food.,0,SQ0j7bgSTazkVQlF5AnqyQ,0,2,2013-03-29,review,0
206,0.0,fTg6Rz2Rs1LLYN_U7TJbcQ,QRRumDA7QEUGwQ2sD_KswA,"I used to order takeout here once every month or so. The food tastes average and the price is good. It's your typical low-end Chinese place. 

The last (and final) time I ordered here I just so happened to be picking up my order while a health inspector from allegheny county health department was making his rounds. While I was waiting on my food (which took much longer than usual) the inspector was pointing out violations. He also requested a copy of a certificate that the man behind the register was unable to produce. The inspector looked at me like I was crazy for waiting on my food despite the obvious poor conditions.  

As for the rest of the place - it's always been kind of dirty inside. The carpets are just FILTHY and the walls match. There are always children's toys scattered about the floor because the owners children are always there, so be careful not to trip. 

The workers do seem like nice people just trying to make a living but when it comes to cleanliness Don Don is lacking.",0,SQ0j7bgSTazkVQlF5AnqyQ,0,2,2013-06-10,review,0
209,0.0,-g9mbTmnzyFB5WWlQz75Lw,jXaUEpCHILS4c-I4tNgXnQ,I use to order here fairly often.  The past 2 years their food has been getting progressively worse every time I order.  It doesn't help that the owner that always is at the register is so rude to me every time.  I finally decided that I'm done.  I don't think I should feel let an inconvenience when ordering food from a restaurant.  Let alone one that the food isn't even that good. Also the inside is dirty as heck.  They can deliver food in a BMW but they can't buy a scrub brush?  I have found Golden Dragon in Collier Square is 100 times better then Don Don.,0,SQ0j7bgSTazkVQlF5AnqyQ,0,1,2015-06-08,review,0
211,0.0,M7aa16-iEQbrUVZ98crgRg,QS6FBZqCw4ox3xVgEsE6YA,"They gladly have you come in for a ""consultation""/ cleaning just to tell you they work on children, but when you try to get actual work done on your child they all the sudden refer you to children's. Good scam to get that cleaning visit from patients but don't do any work. I will be looking for a dentist for all 3 of my boys that actually works.",0,L0YSY79uzz_FIInvKmvyIw,0,1,2015-12-14,review,0
